subj,task,channel,community
1,A,SD7,3
1,A,SD8,4
1,A,SD9,5
1,A,SD0,1
1,A,SD1,1
1,A,SD2,1
1,A,SD3,2
1,A,SD4,2
1,A,SD5,2
1,A,SD6,2
1,B,SD7,3
1,B,SD8,4
1,B,SD9,5
1,B,SD0,1
1,B,SD1,1
1,B,SD2,1
1,B,SD3,2
1,B,SD4,2
1,B,SD5,2
1,B,SD6,2
2,A,SD2,3
2,A,SD7,4
2,A,SD8,5
2,A,SD9,6
2,A,SD0,1
2,A,SD1,1
2,A,SD3,2
2,A,SD4,2
2,A,SD5,2
2,A,SD6,2
2,B,SD6,3
2,B,SD7,4
2,B,SD8,5
2,B,SD9,6
2,B,SD0,1
2,B,SD1,1
2,B,SD2,1
2,B,SD3,2
2,B,SD4,2
2,B,SD5,2
3,A,SD2,3
3,A,SD5,4
3,A,SD6,5
3,A,SD7,6
3,A,SD8,7
3,A,SD9,8
3,A,SD0,1
3,A,SD1,1
3,A,SD3,2
3,A,SD4,2
3,B,SD2,3
3,B,SD5,4
3,B,SD6,5
3,B,SD7,6
3,B,SD8,7
3,B,SD9,8
3,B,SD0,1
3,B,SD1,1
3,B,SD3,2
3,B,SD4,2
